Source:,MIDI.sch,,,,,,,,,,,,
Date:,lun 17 jul 2017 17:52:08 ART,,,,,,,,,,,,
Tool:,Eeschema 4.0.6-e0-6349~53~ubuntu16.04.1,,,,,,,,,,,,
Generator:,/home/cmancon/CESE/DCI/Ejercicio_2/ej2tools/bom_csv_grouped_by_value.py,,,,,,,,,,,,
Component Count:,134,,,,,,,,,,,,
,,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,,
,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Desc,Description,Digikey#,Manf,Manf#,Mouser#,kicost.v1:Manf#
,,C18,100nF,MIDI:C,MIDI:C_0805_HandSoldering,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,CAP CER 0.1UF 50V X7R 0805,CAP CER 0.1UF 50V X7R 0805,311-1140-1-ND,Yageo,CC0805KRX7R9BB104,603-CC805KRX7R9BB104,
,,C19,100nF,MIDI:C,MIDI:C_0805_HandSoldering,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,CAP CER 0.1UF 50V X7R 0805,CAP CER 0.1UF 50V X7R 0805,311-1140-1-ND,Yageo,CC0805KRX7R9BB104,603-CC805KRX7R9BB104,
,,C20,100nF,MIDI:C,MIDI:C_0805_HandSoldering,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,CAP CER 0.1UF 50V X7R 0805,CAP CER 0.1UF 50V X7R 0805,311-1140-1-ND,Yageo,CC0805KRX7R9BB104,603-CC805KRX7R9BB104,
,,C21,100nF,MIDI:C,MIDI:C_0805_HandSoldering,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,CAP CER 0.1UF 50V X7R 0805,CAP CER 0.1UF 50V X7R 0805,311-1140-1-ND,Yageo,CC0805KRX7R9BB104,603-CC805KRX7R9BB104,
,,C22,100nF,MIDI:C,MIDI:C_0805_HandSoldering,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,CAP CER 0.1UF 50V X7R 0805,CAP CER 0.1UF 50V X7R 0805,311-1140-1-ND,Yageo,CC0805KRX7R9BB104,603-CC805KRX7R9BB104,
,,C23,100nF,MIDI:C,MIDI:C_0805_HandSoldering,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,CAP CER 0.1UF 50V X7R 0805,CAP CER 0.1UF 50V X7R 0805,311-1140-1-ND,Yageo,CC0805KRX7R9BB104,603-CC805KRX7R9BB104,
,,C24,100nF,MIDI:C,MIDI:C_0805_HandSoldering,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,CAP CER 0.1UF 50V X7R 0805,CAP CER 0.1UF 50V X7R 0805,311-1140-1-ND,Yageo,CC0805KRX7R9BB104,603-CC805KRX7R9BB104,
,,C25,100nF,MIDI:C,MIDI:C_0805_HandSoldering,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,CAP CER 0.1UF 50V X7R 0805,CAP CER 0.1UF 50V X7R 0805,311-1140-1-ND,Yageo,CC0805KRX7R9BB104,603-CC805KRX7R9BB104,
,,C26,100nF,MIDI:C,MIDI:C_0805_HandSoldering,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,CAP CER 0.1UF 50V X7R 0805,CAP CER 0.1UF 50V X7R 0805,311-1140-1-ND,Yageo,CC0805KRX7R9BB104,603-CC805KRX7R9BB104,
,,C27,100nF,MIDI:C,MIDI:C_0805_HandSoldering,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,CAP CER 0.1UF 50V X7R 0805,CAP CER 0.1UF 50V X7R 0805,311-1140-1-ND,Yageo,CC0805KRX7R9BB104,603-CC805KRX7R9BB104,
,,C28,100nF,MIDI:C,MIDI:C_0805_HandSoldering,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,CAP CER 0.1UF 50V X7R 0805,CAP CER 0.1UF 50V X7R 0805,311-1140-1-ND,Yageo,CC0805KRX7R9BB104,603-CC805KRX7R9BB104,
,,D1,1N4148,MIDI:DIODE,MIDI:D_DO-35_SOD27_P7.62mm_Horizontal,https://www.fairchildsemi.com/datasheets/1N/1N914.pdf,DIODE GEN PURP 100V 200MA DO35,DIODE GEN PURP 100V 200MA DO35,1N4148FS-ND,Fairchild/ON Semiconductor,1N4148,512-1N4148,
,,F1,CONN_1,MIDI:CONN_1,MIDI:Fiducial_1mm_BOT,,,,,,,,1000
,,F2,CONN_1,MIDI:CONN_1,MIDI:Fiducial_1mm_BOT,,,,,,,,1000
,,F3,CONN_1,MIDI:CONN_1,MIDI:Fiducial_1mm_BOT,,,,,,,,1000
,,F4,CONN_1,MIDI:CONN_1,MIDI:Fiducial_1mm_TOP,,,,,,,,1000
,,F5,CONN_1,MIDI:CONN_1,MIDI:Fiducial_1mm_TOP,,,,,,,,1000
,,F6,CONN_1,MIDI:CONN_1,MIDI:Fiducial_1mm_TOP,,,,,,,,1000
,,FB1,1k @100MHz,MIDI:FILTER,MIDI:FB_0805_HandSoldering,http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=BK2125HS102-T&fileName=BK2125HS102-T_SS&mode=specSheetDownload,FERRITE BEAD 1 KOHM 0805 1LN,FERRITE BEAD 1 KOHM 0805 1LN,587-1904-1-ND,Taiyo Yuden,BK2125HS102-T,963-BK2125HS102-T,
,,FB2,1k @100MHz,MIDI:FILTER,MIDI:FB_0805_HandSoldering,http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=BK2125HS102-T&fileName=BK2125HS102-T_SS&mode=specSheetDownload,FERRITE BEAD 1 KOHM 0805 1LN,FERRITE BEAD 1 KOHM 0805 1LN,587-1904-1-ND,Taiyo Yuden,BK2125HS102-T,963-BK2125HS102-T,
