Source:,MIDI.sch,,,,,,,,,,,,
Date:,lun 17 jul 2017 17:52:08 ART,,,,,,,,,,,,
Tool:,Eeschema 4.0.6-e0-6349~53~ubuntu16.04.1,,,,,,,,,,,,
Generator:,/home/cmancon/CESE/DCI/Ejercicio_2/ej2tools/bom_csv_grouped_by_value.py,,,,,,,,,,,,
Component Count:,134,,,,,,,,,,,,
,,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,,
,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Desc,Description,Digikey#,Manf,Manf#,Mouser#,kicost.v1:Manf#
,,R24,1k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 1K OHM 5% 1/8W 0805,RES SMD 1K OHM 5% 1/8W 0805,311-1.0KARCT-ND,Yageo,RC0805JR-071KL,603-RC0805JR-071KL,
,,R25,10k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R26,18k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 18K OHM 5% 1/8W 0805,RES SMD 18K OHM 5% 1/8W 0805,311-18KARCT-ND,Yageo,RC0805JR-0718KL,603-RC0805JR-0718KL,
,,R27,33k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 33K OHM 1% 1/8W 0805,RES SMD 33K OHM 1% 1/8W 0805,311-33.0KCRCT-ND,Yageo,RC0805FR-0733KL,603-RC0805FR-0733KL,
,,R28,10k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R29,10k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R30,10K,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R31,18k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 18K OHM 5% 1/8W 0805,RES SMD 18K OHM 5% 1/8W 0805,311-18KARCT-ND,Yageo,RC0805JR-0718KL,603-RC0805JR-0718KL,
,,R32,10k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R33,33k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 33K OHM 1% 1/8W 0805,RES SMD 33K OHM 1% 1/8W 0805,311-33.0KCRCT-ND,Yageo,RC0805FR-0733KL,603-RC0805FR-0733KL,
,,R34,1k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 1K OHM 5% 1/8W 0805,RES SMD 1K OHM 5% 1/8W 0805,311-1.0KARCT-ND,Yageo,RC0805JR-071KL,603-RC0805JR-071KL,
,,R35,10k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R36,18k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 18K OHM 5% 1/8W 0805,RES SMD 18K OHM 5% 1/8W 0805,311-18KARCT-ND,Yageo,RC0805JR-0718KL,603-RC0805JR-0718KL,
,,R37,33k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 33K OHM 1% 1/8W 0805,RES SMD 33K OHM 1% 1/8W 0805,311-33.0KCRCT-ND,Yageo,RC0805FR-0733KL,603-RC0805FR-0733KL,
,,R38,10k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R39,10k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R40,10k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R41,10k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R42,1k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 1K OHM 5% 1/8W 0805,RES SMD 1K OHM 5% 1/8W 0805,311-1.0KARCT-ND,Yageo,RC0805JR-071KL,603-RC0805JR-071KL,
,,R43,1k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 1K OHM 5% 1/8W 0805,RES SMD 1K OHM 5% 1/8W 0805,311-1.0KARCT-ND,Yageo,RC0805JR-071KL,603-RC0805JR-071KL,
,,R44,1k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 1K OHM 5% 1/8W 0805,RES SMD 1K OHM 5% 1/8W 0805,311-1.0KARCT-ND,Yageo,RC0805JR-071KL,603-RC0805JR-071KL,
,,R45,1k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 1K OHM 5% 1/8W 0805,RES SMD 1K OHM 5% 1/8W 0805,311-1.0KARCT-ND,Yageo,RC0805JR-071KL,603-RC0805JR-071KL,
,,R46,10k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R47,10k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R48,10k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R49,10k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R50,1k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 1K OHM 5% 1/8W 0805,RES SMD 1K OHM 5% 1/8W 0805,311-1.0KARCT-ND,Yageo,RC0805JR-071KL,603-RC0805JR-071KL,
,,R51,1k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 1K OHM 5% 1/8W 0805,RES SMD 1K OHM 5% 1/8W 0805,311-1.0KARCT-ND,Yageo,RC0805JR-071KL,603-RC0805JR-071KL,
,,R52,1k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 1K OHM 5% 1/8W 0805,RES SMD 1K OHM 5% 1/8W 0805,311-1.0KARCT-ND,Yageo,RC0805JR-071KL,603-RC0805JR-071KL,
,,R53,1k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 1K OHM 5% 1/8W 0805,RES SMD 1K OHM 5% 1/8W 0805,311-1.0KARCT-ND,Yageo,RC0805JR-071KL,603-RC0805JR-071KL,
,,R54,10k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R55,10k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R56,10k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R57,10k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R58,1k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 1K OHM 5% 1/8W 0805,RES SMD 1K OHM 5% 1/8W 0805,311-1.0KARCT-ND,Yageo,RC0805JR-071KL,603-RC0805JR-071KL,
,,R59,1k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 1K OHM 5% 1/8W 0805,RES SMD 1K OHM 5% 1/8W 0805,311-1.0KARCT-ND,Yageo,RC0805JR-071KL,603-RC0805JR-071KL,
,,R60,1k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 1K OHM 5% 1/8W 0805,RES SMD 1K OHM 5% 1/8W 0805,311-1.0KARCT-ND,Yageo,RC0805JR-071KL,603-RC0805JR-071KL,
,,R61,1k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 1K OHM 5% 1/8W 0805,RES SMD 1K OHM 5% 1/8W 0805,311-1.0KARCT-ND,Yageo,RC0805JR-071KL,603-RC0805JR-071KL,
,,SW1,SW_PUSH,MIDI:SW_PUSH,MIDI:SW_PUSH_6mm,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825910&DocType=Customer+Drawing&DocLang=English,SWITCH TACTILE SPST-NO 0.05A 24V,SWITCH TACTILE SPST-NO 0.05A 24V,450-1650-ND,TE Connectivity ALCOSWITCH Switches,1825910-6,506-FSM4JH,
,,SW2,SW_PUSH,MIDI:SW_PUSH,MIDI:SW_PUSH_6mm,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825910&DocType=Customer+Drawing&DocLang=English,SWITCH TACTILE SPST-NO 0.05A 24V,SWITCH TACTILE SPST-NO 0.05A 24V,450-1650-ND,TE Connectivity ALCOSWITCH Switches,1825910-6,506-FSM4JH,
,,SW3,SW_PUSH,MIDI:SW_PUSH,MIDI:SW_PUSH_6mm,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825910&DocType=Customer+Drawing&DocLang=English,SWITCH TACTILE SPST-NO 0.05A 24V,SWITCH TACTILE SPST-NO 0.05A 24V,450-1650-ND,TE Connectivity ALCOSWITCH Switches,1825910-6,506-FSM4JH,
,,SW4,SW_PUSH,MIDI:SW_PUSH,MIDI:SW_PUSH_6mm,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825910&DocType=Customer+Drawing&DocLang=English,SWITCH TACTILE SPST-NO 0.05A 24V,SWITCH TACTILE SPST-NO 0.05A 24V,450-1650-ND,TE Connectivity ALCOSWITCH Switches,1825910-6,506-FSM4JH,
,,SW5,SW_PUSH,MIDI:SW_PUSH,MIDI:SW_PUSH_6mm,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825910&DocType=Customer+Drawing&DocLang=English,SWITCH TACTILE SPST-NO 0.05A 24V,SWITCH TACTILE SPST-NO 0.05A 24V,450-1650-ND,TE Connectivity ALCOSWITCH Switches,1825910-6,506-FSM4JH,
,,SW6,SW_PUSH,MIDI:SW_PUSH,MIDI:SW_PUSH_6mm,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825910&DocType=Customer+Drawing&DocLang=English,SWITCH TACTILE SPST-NO 0.05A 24V,SWITCH TACTILE SPST-NO 0.05A 24V,450-1650-ND,TE Connectivity ALCOSWITCH Switches,1825910-6,506-FSM4JH,
,,SW7,SW_PUSH,MIDI:SW_PUSH,MIDI:SW_PUSH_6mm,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825910&DocType=Customer+Drawing&DocLang=English,SWITCH TACTILE SPST-NO 0.05A 24V,SWITCH TACTILE SPST-NO 0.05A 24V,450-1650-ND,TE Connectivity ALCOSWITCH Switches,1825910-6,506-FSM4JH,
,,SW8,SW_PUSH,MIDI:SW_PUSH,MIDI:SW_PUSH_6mm,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825910&DocType=Customer+Drawing&DocLang=English,SWITCH TACTILE SPST-NO 0.05A 24V,SWITCH TACTILE SPST-NO 0.05A 24V,450-1650-ND,TE Connectivity ALCOSWITCH Switches,1825910-6,506-FSM4JH,
,,SW9,SW_PUSH,MIDI:SW_PUSH,MIDI:SW_PUSH_6mm,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825910&DocType=Customer+Drawing&DocLang=English,SWITCH TACTILE SPST-NO 0.05A 24V,SWITCH TACTILE SPST-NO 0.05A 24V,450-1650-ND,TE Connectivity ALCOSWITCH Switches,1825910-6,506-FSM4JH,
,,SW10,SW_PUSH,MIDI:SW_PUSH,MIDI:SW_PUSH_6mm,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825910&DocType=Customer+Drawing&DocLang=English,SWITCH TACTILE SPST-NO 0.05A 24V,SWITCH TACTILE SPST-NO 0.05A 24V,450-1650-ND,TE Connectivity ALCOSWITCH Switches,1825910-6,506-FSM4JH,
,,SW11,SW_PUSH,MIDI:SW_PUSH,MIDI:SW_PUSH_6mm,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825910&DocType=Customer+Drawing&DocLang=English,SWITCH TACTILE SPST-NO 0.05A 24V,SWITCH TACTILE SPST-NO 0.05A 24V,450-1650-ND,TE Connectivity ALCOSWITCH Switches,1825910-6,506-FSM4JH,
,,SW12,SW_PUSH,MIDI:SW_PUSH,MIDI:SW_PUSH_6mm,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825910&DocType=Customer+Drawing&DocLang=English,SWITCH TACTILE SPST-NO 0.05A 24V,SWITCH TACTILE SPST-NO 0.05A 24V,450-1650-ND,TE Connectivity ALCOSWITCH Switches,1825910-6,506-FSM4JH,
,,U1,6N138,MIDI:6N138,MIDI:DIP-8_W7.62mm_LongPads,/Datasheets/6n138.pdf,OPTOISO 5KV DARL W/BASE 8DIP,OPTOISO 5KV DARL W/BASE 8DIP,160-1795-ND,Lite-On Inc.,6N138,859-6N138,
,,U2,4050,MIDI:4050,MIDI:DIP-16_W7.62mm_LongPads,/Datasheets/cd4050b.pdf,IC BUFF/CONVERTER HEX 16DIP,IC BUFF/CONVERTER HEX 16DIP,296-2056-5-ND,Texas Instruments,CD4050BE,595-CD4050BE,
,,U3,40106,MIDI:40106,MIDI:DIP-14_W7.62mm_LongPads,/Datasheets/cd40106b.pdf,IC INVERTER GATE HEX 14DIP,IC INVERTER GATE HEX 14DIP,296-3503-5-ND,Texas Instruments,CD40106BE,595-CD40106BE,
,,U4,ENCODER_w_SWITCH,MIDI:ENCODER_w_SWITCH,MIDI:ENC_w_SW,/Datasheets/pec11l.pdf,ENCODER LO PROFILE 11MM W/SWITCH,ENCODER LO PROFILE 11MM W/SWITCH,PEC11L-4220F-S0015-ND,Bourns Inc.,PEC11L-4220F-S0015,652-PEC11L4220FS0015,
,,U5,ENCODER_w_SWITCH,MIDI:ENCODER_w_SWITCH,MIDI:ENC_w_SW,/Datasheets/pec11l.pdf,ENCODER LO PROFILE 11MM W/SWITCH,ENCODER LO PROFILE 11MM W/SWITCH,PEC11L-4220F-S0015-ND,Bourns Inc.,PEC11L-4220F-S0015,652-PEC11L4220FS0015,
,,U6,ENCODER_w_SWITCH,MIDI:ENCODER_w_SWITCH,MIDI:ENC_w_SW,/Datasheets/pec11l.pdf,ENCODER LO PROFILE 11MM W/SWITCH,ENCODER LO PROFILE 11MM W/SWITCH,PEC11L-4220F-S0015-ND,Bourns Inc.,PEC11L-4220F-S0015,652-PEC11L4220FS0015,
,,XA1,Conn_Poncho2P_20x2_A,MIDI:Conn_Poncho2P_20x2_A,MIDI:PIN_ARRAY_20X2,http://portal.fciconnect.com/Comergent//fci/drawing/67996.pdf,"BERGSTIK II 0.100"" DUAL ST","BERGSTIK II 0.100"" DUAL ST",609-4724-ND,Amphenol FCI,68602-140HLF,649-68602-140HLF,
,,XB1,Conn_Poncho2P_20x2_B,MIDI:Conn_Poncho2P_20x2_B,MIDI:PIN_ARRAY_20X2,http://portal.fciconnect.com/Comergent//fci/drawing/67996.pdf,"BERGSTIK II 0.100"" DUAL ST","BERGSTIK II 0.100"" DUAL ST",609-4724-ND,Amphenol FCI,68602-140HLF,649-68602-140HLF,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Collated Components:,,,,,,,,,,,,,
,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Desc,Description,Digikey#,Manf,Manf#,Mouser#,kicost.v1:Manf#
1,22,"C1, C2, C3, C4, C7, C8, C11, C12, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28",100nF,MIDI:C,MIDI:C_0805_HandSoldering,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,CAP CER 0.1UF 50V X7R 0805,CAP CER 0.1UF 50V X7R 0805,311-1140-1-ND,Yageo,CC0805KRX7R9BB104,603-CC805KRX7R9BB104,
2,6,"C5, C6, C9, C10, C13, C14",10nF,MIDI:C,MIDI:C_0805_HandSoldering,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,CAP CER 10000PF 50V X7R 0805,CAP CER 10000PF 50V X7R 0805,311-1136-1-ND,Yageo,CC0805KRX7R9BB103,603-CC805KRX7R9BB103,
3,1,D1,1N4148,MIDI:DIODE,MIDI:D_DO-35_SOD27_P7.62mm_Horizontal,https://www.fairchildsemi.com/datasheets/1N/1N914.pdf,DIODE GEN PURP 100V 200MA DO35,DIODE GEN PURP 100V 200MA DO35,1N4148FS-ND,Fairchild/ON Semiconductor,1N4148,512-1N4148,
4,3,"F1, F2, F3",CONN_1,MIDI:CONN_1,MIDI:Fiducial_1mm_BOT,,,,,,,,1000
5,3,"F4, F5, F6",CONN_1,MIDI:CONN_1,MIDI:Fiducial_1mm_TOP,,,,,,,,1000
6,6,"FB1, FB2, FB3, FB4, FB5, FB6",1k @100MHz,MIDI:FILTER,MIDI:FB_0805_HandSoldering,http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=BK2125HS102-T&fileName=BK2125HS102-T_SS&mode=specSheetDownload,FERRITE BEAD 1 KOHM 0805 1LN,FERRITE BEAD 1 KOHM 0805 1LN,587-1904-1-ND,Taiyo Yuden,BK2125HS102-T,963-BK2125HS102-T,
7,1,G1,LOGO,MIDI:LOGO,MIDI:LOGO,,,,,,,,1000
8,1,G2,Logo_Poncho,MIDI:Logo_Poncho,MIDI:Logo_Poncho,,,,,,,,1000
9,1,G3,OSHWA,MIDI:OSHWA,MIDI:OSHWA,,,,,,,,1000
10,4,"H1, H2, H3, H4",CONN_1,MIDI:CONN_1,MIDI:Hole,,,,,,,,1000
11,3,"J1, J2, J3",DIN_5,MIDI:DIN_5,MIDI:DIN5_180,/Datasheets/sdf-xxj.pdf,CONN DIN 5POS FEMALE SHIELDED,CONN DIN 5POS FEMALE SHIELDED,CP-7050-ND,CUI Inc.,SDF-50J,490-SDF-50J,
12,2,"J4, J5",CONN_01X06,MIDI:CONN_01X06,MIDI:Pin_Header_Straight_1x06_Pitch2.54mm,http://portal.fciconnect.com/Comergent//fci/drawing/75915.pdf,"CONN RCPT 6POS .100"" SGL PCB","CONN RCPT 6POS .100"" SGL PCB",609-3558-ND,Amphenol FCI,75915-306LF,649-75915-306LF,
13,1,R1,1K,MIDI:R,MIDI:R_0805_HandSoldering,https://industrial.panasonic.com/ww/system/files/data/download/catalog/id_fixed-resistors_e_1.pdf,RES SMD 1K OHM 1% 1/2W 0805,RES SMD 1K OHM 1% 1/2W 0805,P16885CT-ND,Panasonic Electronic Components,ERJ-P6WF1001V,667-ERJ-P6WF1001V,
14,2,"R2, R6","33R 0,5W",MIDI:R,MIDI:R_0805_HandSoldering,https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C291.pdf,RES SMD 33 OHM 5% 1/2W 0805,RES SMD 33 OHM 5% 1/2W 0805,P33ADCT-ND,Panasonic Electronic Components,ERJ-P06J330V,667-ERJ-P06J330V,
15,1,R3,220R,MIDI:R,MIDI:R_0805_HandSoldering,https://industrial.panasonic.com/ww/system/files/data/download/catalog/id_fixed-resistors_e_1.pdf,RES SMD 220 OHM 5% 1/2W 0805,RES SMD 220 OHM 5% 1/2W 0805,P220ADCT-ND,Panasonic Electronic Components,ERJ-P06J221V,667-ERJ-P06J221V,
16,1,R4,4K7,MIDI:R,MIDI:R_0805_HandSoldering,https://industrial.panasonic.com/ww/system/files/data/download/catalog/id_fixed-resistors_e_1.pdf,RES SMD 4.7K OHM 5% 1/2W 0805,RES SMD 4.7K OHM 5% 1/2W 0805,P4.7KADCT-ND,Panasonic Electronic Components,ERJ-P06J472V,667-ERJ-P06J472V,
17,2,"R5, R7",10R,MIDI:R,MIDI:R_0805_HandSoldering,http://www.bourns.com/data/global/pdfs/CRS.pdf,RES SMD 1K OHM 1% 1/4W 0805,RES SMD 1K OHM 1% 1/4W 0805,CRS0805-FX-1001ELFCT-ND,Bourns Inc.,CRS0805-FX-1001ELF,652-CRS0805FX1001ELF,
18,24,"R8, R9, R12, R15, R18, R19, R22, R25, R28, R29, R32, R35, R38, R39, R40, R41, R46, R47, R48, R49, R54, R55, R56, R57",10k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
19,3,"R10, R20, R30",10K,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
20,6,"R11, R16, R21, R26, R31, R36",18k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 18K OHM 5% 1/8W 0805,RES SMD 18K OHM 5% 1/8W 0805,311-18KARCT-ND,Yageo,RC0805JR-0718KL,603-RC0805JR-0718KL,
21,6,"R13, R17, R23, R27, R33, R37",33k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 33K OHM 1% 1/8W 0805,RES SMD 33K OHM 1% 1/8W 0805,311-33.0KCRCT-ND,Yageo,RC0805FR-0733KL,603-RC0805FR-0733KL,
22,15,"R14, R24, R34, R42, R43, R44, R45, R50, R51, R52, R53, R58, R59, R60, R61",1k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 1K OHM 5% 1/8W 0805,RES SMD 1K OHM 5% 1/8W 0805,311-1.0KARCT-ND,Yageo,RC0805JR-071KL,603-RC0805JR-071KL,
23,12,"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9, SW10, SW11, SW12",SW_PUSH,MIDI:SW_PUSH,MIDI:SW_PUSH_6mm,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825910&DocType=Customer+Drawing&DocLang=English,SWITCH TACTILE SPST-NO 0.05A 24V,SWITCH TACTILE SPST-NO 0.05A 24V,450-1650-ND,TE Connectivity ALCOSWITCH Switches,1825910-6,506-FSM4JH,
24,1,U1,6N138,MIDI:6N138,MIDI:DIP-8_W7.62mm_LongPads,/Datasheets/6n138.pdf,OPTOISO 5KV DARL W/BASE 8DIP,OPTOISO 5KV DARL W/BASE 8DIP,160-1795-ND,Lite-On Inc.,6N138,859-6N138,
